ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
1991,Plaza Barrio Balbastro,Pza. Bo. Balbastro,Plaza,PLAZA,No informado,RIVERA INDARTE - BALBASTRO,Flores,7,SI,351.3345018374211,241.46952156418075,-34.6445249766,-58.4491969833,-34.6444080342,-58.4493365681,Punto representativo interno del componente principal,1,18.22,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1995,Plaza Ana Frank,Pza. Ana Frank,Plaza,PLAZA,No informado,SUPERI - URTUBEY CLODOMIRO - OLAZABAL AV,Belgrano,13,NO,45.73292261887123,60.0466821720096,-34.5658530999,-58.4684754167,-34.5658530999,-58.4684754167,Centroide geométrico,0,0.00,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2071,Plaza Colonia Express,Pza. Colonia Express,Plaza,PLAZA,No informado,ELVIRA RAWSON DELLEPIANE 49,La Boca,4,NO,596.8282339584412,152.29577244705857,-34.6244800312,-58.3620091071,-34.6244800312,-58.3620091071,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2072,No informado,No informado,Plaza,PLAZA,No informado,AV PEDRO DE MENDOZA 302 - 400,La Boca,4,NO,700.4193805758199,270.502423075227,-34.6264982363,-58.3588561564,-34.6264982363,-58.3588561564,Centroide geométrico,0,0.00,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2112,No informado,No informado,Plaza,PLAZA,No informado,AV SOLDADO DE LA FRONTERA y CNEL MANUEL JOSE OLASCOAGA,Villa Lugano,8,SI,313.2595293600888,157.52941713228853,-34.6833155709,-58.4657354314,-34.6833155709,-58.4657354314,Centroide geométrico,0,0.00,0,5,1,Plaza sin nombre y menor a 500 m²; confirmar que sea un espacio independiente,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2114,Bo. Cardenal Santiago Copello,Bo. Copello,Plaza,PLAZA,No informado,BASUALDO - SANTANDER - MIRALLA - TTE GRAL LUIS DELLEPIANE,Villa Lugano,8,NO,24491.087140562136,5670.103770378636,-34.6658621306,-58.4753867181,-34.6658154691,-58.4753188521,Punto representativo interno del componente principal,1,8.09,0,38,1,Barrio Cardenal Copello: confirmar si representa una única plaza independiente,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2115,No informado,No informado,Plaza,PLAZA,No informado,JOSE LEON SUAREZ entre CRISOSTOMO ALVAREZ y ZUVIRIA,Villa Lugano,8,SI,2843.4444604338714,271.0995960299651,-34.6776665462,-58.4940752163,-34.6776665462,-58.4940752163,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2118,No informado,No informado,Plaza,PLAZA,No informado,MONTIEL y CRISOSTOMO ALVAREZ,Villa Lugano,8,SI,987.8536244932757,194.67782541000543,-34.6776273397,-58.4923638961,-34.6776273397,-58.4923638961,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2123,No informado,No informado,Plaza,PLAZA,No informado,GOLETA SANTA CRUZ 6786,Villa Lugano,8,SI,332.5392810457014,231.51957284507193,-34.6792369403,-58.4919447567,-34.6792513275,-58.4920250726,Punto representativo interno del componente principal,1,7.53,0,7,1,Plaza sin nombre y menor a 500 m²; confirmar que sea un espacio independiente,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2131,Bo. Los Perales (ex Manuel Dorrego),Bo. Los Perales (ex Dorrego),Plaza,PLAZA,No informado,AV EVA PERÓN - AV LISANDRO DE LA TORRE - CARHUE - MONTE - YRUPE - JUSTO ANTONIO SUAREZ,Mataderos,9,SI,99486.70236403838,15038.61400878085,-34.6687767768,-58.4948217160,-34.6679509273,-58.4967569551,Punto representativo interno del componente principal,1,199.60,0,90,1,Barrio Los Perales: confirmar si representa una única plaza independiente,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
