ID,Tipo_Transporte,Nombre,Corredor,Lineas,Lineas_Sentido,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
METROBUS_000359,Metrobus,No informado,No informado,159|129,159:V|129:V,1570 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.626344,-58.367878,0,0
METROBUS_000360,Metrobus,No informado,No informado,29|159,29:V|159:I,1521 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.625523,-58.368022,0,0
METROBUS_000361,Metrobus,No informado,No informado,64|86|152,64:V|86:V|152:V,1551 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.626084,-58.368017,0,0
METROBUS_000362,Metrobus,No informado,No informado,74|93,74:I|93:I,1571 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.626622,-58.368006,0,0
METROBUS_000363,Metrobus,No informado,No informado,33|129,33:I|129:I,121 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.627931,-58.367224,0,0
METROBUS_000364,Metrobus,No informado,No informado,159|168,159:I|168:V,151 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.627999,-58.367003,0,0
METROBUS_000365,Metrobus,No informado,No informado,25|29|53,25:I|29:V|53:V,221 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.628573,-58.366333,0,0
METROBUS_000366,Metrobus,No informado,No informado,64|86|152,64:V|86:V|152:V,251 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.628681,-58.366162,0,0
METROBUS_000367,Metrobus,No informado,No informado,53|33|29,53:I|33:V|29:I,320 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.628981,-58.365235,0,0
METROBUS_000368,Metrobus,No informado,No informado,152|86|64,152:I|86:I|64:I,350 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.629023,-58.365126,0,0
METROBUS_000369,Metrobus,No informado,No informado,168|159|129,168:I|159:V|129:V,370 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.629196,-58.36489,0,0
METROBUS_000370,Metrobus,No informado,No informado,33|129|159,33:I|129:I|159:I,551 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.630273,-58.363709,0,0
METROBUS_000371,Metrobus,No informado,No informado,25|29|53,25:I|29:V|53:V,621 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.630646,-58.363218,0,0
METROBUS_000372,Metrobus,No informado,No informado,64|86|152,64:V|86:V|152:V,651 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.630796,-58.362991,0,0
METROBUS_000373,Metrobus,No informado,No informado,53|33|29,53:I|33:V|29:I,720 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.630988,-58.361767,0,0
METROBUS_000374,Metrobus,No informado,No informado,152|86|64,152:I|86:I|64:I,750 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.631256,-58.361418,0,0
METROBUS_000375,Metrobus,No informado,No informado,159|129,159:V|129:V,770 ALMTE. BROWN AV.,LA BOCA,Comuna 4,-34.631557,-58.361269,0,0
METROBUS_000376,Metrobus,QUIRNO,No informado,88|126|180,88:I|126:No informado|180:No informado,2991 JUAN BAUTISTA ALBERDI AV.,FLORES,Comuna 7,-34.633667,-58.469807,0,0
METROBUS_000377,Metrobus,AZUL,No informado,55|88|126|180,55:No informado|88:I|126:No informado|180:No informado,3391 JUAN BAUTISTA ALBERDI AV.,FLORESTA,Comuna 10,-34.635101,-58.474109,0,0
METROBUS_000378,Metrobus,MARIANO ACOSTA,No informado,55|88|126|180,55:No informado|88:I|126:No informado|180:No informado,3791 JUAN BAUTISTA ALBERDI AV.,FLORESTA,Comuna 10,-34.636907,-58.478406,0,0
METROBUS_000379,Metrobus,LACARRA,No informado,4|55|88|126|180,4:No informado|55:No informado|88:I|126:No informado|180:No informado,4091 JUAN BAUTISTA ALBERDI AV.,VELEZ SARFIELD,Comuna 10,-34.638866,-58.482714,0,0
METROBUS_000380,Metrobus,MEDINA,No informado,4|49|55|88,4:No informado|49:No informado|55:No informado|88:I,4391 JUAN BAUTISTA ALBERDI AV.,VELEZ SARFIELD,Comuna 10,-34.641113,-58.487483,0,0
METROBUS_000381,Metrobus,MEDINA,No informado,92|126|180,92:No informado|126:No informado|180:No informado,4371 JUAN BAUTISTA ALBERDI AV.,VELEZ SARFIELD,Comuna 10,-34.641073,-58.487375,0,0
METROBUS_000382,Metrobus,WHITE,No informado,4|49|55|88,4:No informado|49:No informado|55:No informado|88:I,4791 JUAN BAUTISTA ALBERDI AV.,VILLA LURO,Comuna 10,-34.64392,-58.493346,0,0
METROBUS_000383,Metrobus,WHITE,No informado,92|126|180,92:No informado|126:No informado|180:No informado,4791 JUAN BAUTISTA ALBERDI AV.,VILLA LURO,Comuna 10,-34.643858,-58.493212,0,0
METROBUS_000384,Metrobus,SAN PEDRITO,No informado,88|126|180,88:V|126:No informado|180:No informado,2910 DIRECTORIO AV.,FLORES,Comuna 7,-34.635605,-58.467822,0,0
METROBUS_000385,Metrobus,PERGAMINO,No informado,55|88|126|180,55:No informado|88:V|126:No informado|180:No informado,3310 DIRECTORIO AV.,FLORESTA,Comuna 10,-34.637061,-58.472682,0,0
METROBUS_000386,Metrobus,MARIANO ACOSTA,No informado,55|88|126|180,55:No informado|88:V|126:No informado|180:No informado,3710 DIRECTORIO AV.,PARQUE AVELLANEDA,Comuna 9,-34.639034,-58.47625,0,0
METROBUS_000387,Metrobus,TAPALQUE,No informado,4|88|180,4:No informado|88:No informado|180:No informado,4720 BRUIX AV.,PARQUE AVELLANEDA,Comuna 9,-34.645663,-58.492096,0,0
METROBUS_000388,Metrobus,RODO,No informado,55|92|126,55:No informado|92:No informado|126:No informado,4680 BRUIX AV.,PARQUE AVELLANEDA,Comuna 9,-34.64599,-58.490857,0,0
METROBUS_000389,Metrobus,CHASCOMUS,No informado,4|88|180,4:No informado|88:V|180:No informado,4560 BRUIX AV.,PARQUE AVELLANEDA,Comuna 9,-34.646493,-58.488904,0,0
METROBUS_000390,Metrobus,DIRECTORIO,No informado,55|92|126,55:No informado|92:No informado|126:No informado,4440 BRUIX AV.,PARQUE AVELLANEDA,Comuna 9,-34.64696,-58.48722,0,0
